date,value
2010/6/1,973.23
2010/6/2,997.12
2010/6/3,998.39
2010/6/4,"1,027.68"
2010/6/7,"1,069.47"
2010/6/8,"1,067.15"
2010/6/9,"1,077.82"
2010/6/10,"1,117.48"
2010/6/11,"1,122.20"
2010/6/17,"1,064.84"
2010/6/18,"1,000.28"
2010/6/21,"1,040.80"
2010/6/22,"1,034.99"
2010/6/23,"1,047.34"
2010/6/24,"1,050.60"
2010/6/25,"1,016.28"
2010/6/28,987.83
2010/6/29,913.31
2010/6/30,919.31
2010/7/1,882.19
2010/7/2,873.12
2010/7/5,862.27
2010/7/6,893.72
2010/7/7,908.55
2010/7/8,905.51
2010/7/9,932.15
2010/7/12,930.17
2010/7/13,931.08
2010/7/14,922.36
2010/7/15,892.56
2010/7/16,892.3
2010/7/19,908.05
2010/7/20,937.02
2010/7/21,941.25
2010/7/22,950.21
2010/7/23,960.59
2010/7/26,966.15
2010/7/27,957.97
2010/7/28,972.53
2010/7/29,975.36
2010/7/30,968.43
2010/8/2,994.23
2010/8/3,975.65
2010/8/4,978.01
2010/8/5,987.35
2010/8/6,"1,011.39"
2010/8/9,"1,032.34"
2010/8/10,993.99
2010/8/11,"1,004.64"
2010/8/12,991.78
2010/8/13,"1,007.21"
2010/8/16,"1,030.22"
2010/8/17,"1,033.58"
2010/8/18,"1,026.72"
2010/8/19,"1,025.53"
2010/8/20,995.94
2010/8/23,995.61
2010/8/24,"1,004.98"
2010/8/25,976.88
2010/8/26,980.63
2010/8/27,999.46
2010/8/30,"1,024.93"
2010/8/31,"1,025.57"
2010/9/1,995.59
2010/9/2,"1,014.92"
2010/9/3,"1,036.70"
2010/9/6,"1,010.76"
2010/9/7,"1,022.62"
2010/9/8,"1,026.33"
2010/9/9,"1,021.83"
2010/9/10,"1,034.94"
2010/9/13,"1,042.48"
2010/9/14,"1,031.22"
2010/9/15,990.1
2010/9/16,972.6
2010/9/17,972.23
2010/9/20,949.2
2010/9/21,934.46
2010/9/27,950.67
2010/9/28,942.05
2010/9/29,926.76
2010/9/30,942.54
2010/10/8,959.86
2010/10/11,947.11
2010/10/12,951.79
2010/10/13,962.74
2010/10/14,958.49
2010/10/15,944.25
2010/10/18,932.36
2010/10/19,995.92
2010/10/20,"1,004.54"
2010/10/21,991.84
2010/10/22,"1,013.45"
2010/10/25,"1,039.05"
2010/10/26,"1,036.01"
2010/10/27,"1,030.59"
2010/10/28,"1,038.62"
2010/10/29,"1,064.52"
2010/11/1,"1,107.52"
2010/11/2,"1,075.15"
2010/11/3,"1,040.62"
2010/11/4,"1,057.71"
2010/11/5,"1,072.22"
2010/11/8,"1,107.06"
2010/11/9,"1,115.65"
2010/11/10,"1,141.58"
2010/11/11,"1,132.72"
2010/11/12,"1,082.24"
2010/11/15,"1,148.54"
2010/11/16,"1,126.18"
2010/11/17,"1,085.35"
2010/11/18,"1,102.84"
2010/11/19,"1,153.17"
2010/11/22,"1,174.94"
2010/11/23,"1,183.50"
2010/11/24,"1,208.45"
2010/11/25,"1,186.36"
2010/11/26,"1,196.02"
2010/11/29,"1,220.11"
2010/11/30,"1,181.50"
2010/12/1,"1,177.18"
2010/12/2,"1,177.84"
2010/12/3,"1,157.94"
2010/12/6,"1,134.38"
2010/12/7,"1,161.69"
2010/12/8,"1,160.24"
2010/12/9,"1,144.53"
2010/12/10,"1,166.80"
2010/12/13,"1,209.27"
2010/12/14,"1,218.52"
2010/12/15,"1,211.80"
2010/12/16,"1,225.03"
2010/12/17,"1,232.98"
2010/12/20,"1,212.34"
2010/12/21,"1,215.02"
2010/12/22,"1,201.65"
2010/12/23,"1,176.36"
2010/12/24,"1,144.50"
2010/12/27,"1,105.30"
2010/12/28,"1,091.48"
2010/12/29,"1,113.31"
2010/12/30,"1,117.21"
2010/12/31,"1,137.66"
2011/1/4,"1,155.11"
2011/1/5,"1,155.35"
2011/1/6,"1,134.79"
2011/1/7,"1,126.52"
2011/1/10,"1,093.77"
2011/1/11,"1,078.36"
2011/1/12,"1,089.67"
2011/1/13,"1,093.86"
2011/1/14,"1,067.42"
2011/1/17,"1,028.16"
2011/1/18,"1,025.72"
2011/1/19,"1,048.54"
2011/1/20,"1,020.39"
2011/1/21,"1,024.51"
2011/1/24,994.97
2011/1/25,979
2011/1/26,995.74
2011/1/27,"1,013.02"
2011/1/28,"1,020.94"
2011/1/31,"1,029.12"
2011/2/1,"1,032.60"
2011/2/9,"1,025.15"
2011/2/10,"1,063.95"
2011/2/11,"1,071.58"
2011/2/14,"1,086.56"
2011/2/15,"1,087.72"
2011/2/16,"1,107.24"
2011/2/17,"1,115.33"
2011/2/18,"1,100.46"
2011/2/21,"1,117.67"
2011/2/22,"1,088.27"
2011/2/23,"1,114.05"
2011/2/24,"1,101.95"
2011/2/25,"1,095.10"
2011/2/28,"1,099.78"
2011/3/1,"1,098.00"
2011/3/2,"1,088.90"
2011/3/3,"1,064.31"
2011/3/4,"1,071.86"
2011/3/7,"1,078.11"
2011/3/8,"1,084.82"
2011/3/9,"1,087.30"
2011/3/10,"1,093.90"
2011/3/11,"1,101.76"
2011/3/14,"1,107.54"
2011/3/15,"1,094.95"
2011/3/16,"1,102.21"
2011/3/17,"1,078.37"
2011/3/18,"1,083.60"
2011/3/21,"1,070.60"
2011/3/22,"1,067.29"
2011/3/23,"1,076.56"
2011/3/24,"1,077.99"
2011/3/25,"1,072.34"
2011/3/28,"1,052.11"
2011/3/29,"1,019.04"
2011/3/30,"1,006.37"
2011/3/31,"1,008.30"
2011/4/1,"1,015.08"
2011/4/6,994.26
2011/4/7,"1,004.41"
2011/4/8,"1,019.14"
2011/4/11,"1,002.80"
2011/4/12,"1,000.16"
2011/4/13,"1,020.75"
2011/4/14,"1,016.62"
2011/4/15,"1,010.06"
2011/4/18,"1,003.26"
2011/4/19,994.3
2011/4/20,"1,008.18"
2011/4/21,"1,010.56"
2011/4/22,"1,004.65"
2011/4/25,975.17
2011/4/26,958.29
2011/4/27,942.54
2011/4/28,904.15
2011/4/29,912.72
2011/5/3,922.07
2011/5/4,903.98
2011/5/5,914.59
2011/5/6,918.28
2011/5/9,931.77
2011/5/10,931.21
2011/5/11,929.95
2011/5/12,909.26
2011/5/13,909.77
2011/5/16,906.34
2011/5/17,895.15
2011/5/18,890.79
2011/5/19,884.89
2011/5/20,875.43
2011/5/23,840.9
2011/5/24,870.94
2011/5/25,842.35
2011/5/26,830.92
2011/5/27,822.94
2011/5/30,834.32
2011/5/31,846.32
2011/6/1,851.17
2011/6/2,833.74
2011/6/3,847.54
2011/6/7,847.71
2011/6/8,844.98
2011/6/9,828.02
2011/6/10,824.03
2011/6/13,829.36
2011/6/14,838.47
2011/6/15,827.53
2011/6/16,810.71
2011/6/17,802.64
2011/6/20,791.76
2011/6/21,795.61
2011/6/22,791.51
2011/6/23,814.44
2011/6/24,832.32
2011/6/27,843.86
2011/6/28,844.18
2011/6/29,836.38
2011/6/30,845.92
2011/7/1,855.27
2011/7/4,876.17
2011/7/5,883.42
2011/7/6,894.28
2011/7/7,899.8
2011/7/8,894.91
2011/7/11,903.31
2011/7/12,891.52
2011/7/13,913.09
2011/7/14,932.78
2011/7/15,951.14
2011/7/18,946.12
2011/7/19,927.3
2011/7/20,930.83
2011/7/21,915.37
2011/7/22,923.99
2011/7/25,887.06
2011/7/26,892.54
2011/7/27,915.55
2011/7/28,919.4
2011/7/29,913.28
2011/8/1,927.38
2011/8/2,932.12
2011/8/3,945.51
2011/8/4,937.47
2011/8/5,919.18
2011/8/8,877.44
2011/8/9,878.76
2011/8/10,891.75
2011/8/11,915.49
2011/8/12,926.3
2011/8/15,942.48
2011/8/16,933.14
2011/8/17,936.16
2011/8/18,915.68
2011/8/19,912.42
2011/8/22,910.61
2011/8/23,936.42
2011/8/24,940.2
2011/8/25,942.94
2011/8/26,952.81
2011/8/29,954.03
2011/8/30,934.18
2011/8/31,921.49
2011/9/1,917.75
2011/9/2,909.85
2011/9/5,883.873
2011/9/6,874.738
2011/9/7,899.614
2011/9/8,891.932
2011/9/9,881.577
2011/9/13,861.916
2011/9/14,876.949
2011/9/15,875.861
2011/9/16,874.883
2011/9/19,854.712
2011/9/20,856.812
2011/9/21,881.031
2011/9/22,852.92
2011/9/23,843.479
2011/9/26,829.347
2011/9/27,830.884
2011/9/28,817.515
2011/9/29,791.894
2011/9/30,791.134
2011/10/10,790.042
2011/10/11,786.151
2011/10/12,816.138
2011/10/13,833.021
2011/10/14,830.197
2011/10/17,832.289
2011/10/18,806.6
2011/10/19,804.436
2011/10/20,778.954
2011/10/21,763.295
2011/10/24,772.41
2011/10/25,797.858
2011/10/26,811.134
2011/10/27,810.922
2011/10/28,833.423
2011/10/31,852.798
2011/11/1,853.359
2011/11/2,881.047
2011/11/3,877.658
2011/11/4,882.253
2011/11/7,878.758
2011/11/8,862.36
2011/11/9,891.123
2011/11/10,895.272
2011/11/11,891.193
2011/11/14,915.977
2011/11/15,920.974
2011/11/16,893.508
2011/11/17,898.339
2011/11/18,869.19
2011/11/21,863.134
