date,value
40182,2308.42
40183,2308.71
40184,2301.09
40185,2300.05
40186,2317.17
40189,2312.41
40190,2282.31
40191,2307.9
40192,2316.74
40193,2287.99
40197,2320.4
40198,2291.25
40199,2265.7
40200,2205.29
40203,2210.8
40204,2203.73
40205,2221.41
40206,2179
40207,2147.35
40210,2171.2
40211,2190.06
40212,2190.91
40213,2125.43
40214,2141.12
40217,2126.05
40218,2150.87
40219,2147.87
40220,2177.41
40221,2183.53
40225,2214.19
40226,2226.29
40227,2241.71
40228,2243.87
40231,2242.03
40232,2213.44
40233,2235.9
40234,2234.22
40235,2238.26
40238,2273.57
40239,2280.79
40240,2280.68
40241,2292.31
40242,2326.35
40245,2332.21
40246,2340.68
40247,2358.95
40248,2368.46
40249,2367.66
40252,2362.21
40253,2378.01
40254,2389.09
40255,2391.28
40256,2374.41
40259,2395.4
40260,2415.24
40261,2398.76
40262,2397.41
40263,2395.13
40266,2404.36
40267,2410.69
40268,2397.96
40269,2402.58
40273,2429.53
40274,2436.81
40275,2431.16
40276,2436.81
40277,2454.05
40280,2457.87
40281,2465.99
40282,2504.86
40283,2515.69
40284,2481.26
40287,2480.11
40288,2500.31
40289,2504.61
40290,2519.07
40291,2530.15
40294,2522.95
40295,2471.47
40296,2471.73
40297,2511.92
40298,2461.19
40301,2498.74
40302,2424.25
40303,2402.29
40304,2319.64
40305,2265.64
40308,2374.67
40309,2375.31
40310,2425.02
40311,2394.36
40312,2346.85
40315,2354.23
40316,2317.26
40317,2298.37
40318,2204.01
40319,2229.04
40322,2213.55
40323,2210.95
40324,2195.88
40325,2277.68
40326,2257.04
40330,2222.33
40331,2281.07
40332,2303.03
40333,2219.17
40336,2173.9
40337,2170.57
40338,2158.85
40339,2218.71
40340,2243.6
40343,2243.96
40344,2305.88
40345,2305.93
40346,2307.16
40347,2309.8
40350,2289.09
40351,2261.8
40352,2254.23
40353,2217.42
40354,2223.48
40357,2220.65
40358,2135.18
40359,2109.24
40360,2101.36
40361,2091.79
40365,2093.88
40366,2159.47
40367,2175.4
40368,2196.45
40371,2198.36
40372,2242.03
40373,2249.84
40374,2249.08
40375,2179.05
40378,2198.23
40379,2222.49
40380,2187.33
40381,2245.89
40382,2269.47
40385,2296.43
40386,2288.25
40387,2264.56
40388,2251.69
40389,2254.7
40392,2295.36
40393,2283.52
40394,2303.57
40395,2293.06
40396,2288.47
40399,2305.69
40400,2277.17
40401,2208.63
40402,2190.27
40403,2173.48
40406,2181.87
40407,2209.44
40408,2215.7
40409,2178.95
40410,2179.76
40413,2159.63
40414,2123.76
40415,2141.54
40416,2118.69
40417,2153.63
40420,2119.97
40421,2114.03
40422,2176.84
40423,2200.01
40424,2233.75
40428,2208.89
40429,2228.87
40430,2236.2
40431,2242.48
40434,2285.71
40435,2289.77
40436,2301.32
40437,2303.25
40438,2315.61
40441,2355.83
40442,2349.35
40443,2334.55
40444,2327.08
40445,2381.22
40448,2369.77
40449,2379.59
40450,2376.56
40451,2368.62
40452,2370.75
40455,2344.52
40456,2399.83
40457,2380.66
40458,2383.67
40459,2401.91
40462,2402.33
40463,2417.92
40464,2441.23
40465,2435.38
40466,2468.77
40469,2480.66
40470,2436.95
40471,2457.39
40472,2459.67
40473,2479.39
40476,2490.85
40477,2497.29
40478,2503.26
40479,2507.37
40480,2507.41
40483,2504.84
40484,2533.52
40485,2540.27
40486,2577.34
40487,2578.98
40490,2580.05
40491,2562.98
40492,2578.78
40493,2555.52
40494,2518.21
40497,2513.82
40498,2469.84
40499,2476.01
40500,2514.4
40501,2518.12
40504,2532.02
40505,2494.95
40506,2543.12
40508,2534.56
40511,2525.22
40512,2498.23
40513,2549.43
40514,2579.35
40515,2591.46
40518,2594.92
40519,2598.49
40520,2609.16
40521,2616.67
40522,2637.54
40525,2624.91
40526,2627.72
40527,2617.22
40528,2637.31
40529,2642.97
40532,2649.56
40533,2667.61
40534,2671.48
40535,2665.6
40539,2667.27
40540,2662.88
40541,2666.93
40542,2662.98
40543,2652.87
40546,2691.52
40547,2681.25
40548,2702.2
40549,2709.89
40550,2703.17
40553,2707.8
40554,2716.83
40555,2737.33
40556,2735.29
40557,2755.3
40561,2765.85
40562,2725.36
40563,2704.29
40564,2689.54
40567,2717.55
40568,2719.25
40569,2739.5
40570,2755.28
40571,2686.89
40574,2700.08
40575,2751.19
40576,2749.56
40577,2753.88
40578,2769.3
40581,2783.99
40582,2797.05
40583,2789.07
40584,2790.45
40585,2809.44
40588,2817.18
40589,2804.35
40590,2825.56
40591,2831.58
40592,2833.95
40596,2756.42
40597,2722.99
40598,2737.9
40599,2781.05
40602,2782.27
40603,2737.41
40604,2748.07
40605,2798.74
40606,2784.67
40609,2745.63
40610,2765.77
40611,2751.72
40612,2701.02
40613,2715.61
40616,2700.97
40617,2667.33
40618,2616.82
40619,2636.05
40620,2643.67
40623,2692.09
40624,2683.87
40625,2698.3
40626,2736.42
40627,2743.06
40630,2730.68
40631,2756.89
40632,2776.79
40633,2781.07
40634,2789.6
40637,2789.19
40638,2791.19
40639,2799.82
40640,2796.14
40641,2780.42
40644,2771.51
40645,2744.79
40646,2761.52
40647,2760.22
40648,2764.65
40651,2735.38
40652,2744.97
40653,2802.51
40654,2820.16
40658,2825.88
40659,2847.54
40660,2869.88
40661,2872.53
40662,2873.54
40665,2864.08
40666,2841.62
40667,2828.23
40668,2814.72
40669,2827.56
40672,2843.25
40673,2871.89
40674,2845.06
40675,2863.04
40676,2828.47
40679,2782.31
40680,2783.21
40681,2815
40682,2823.31
40683,2803.32
40686,2758.9
40687,2746.16
40688,2761.38
40689,2782.92
40690,2796.86
40694,2835.3
40695,2769.19
40696,2773.31
40697,2732.78
40700,2702.56
40701,2701.56
40702,2675.38
40703,2684.87
40704,2643.73
40707,2639.69
40708,2678.72
40709,2631.46
40710,2623.7
40711,2616.48
40714,2629.66
40715,2687.26
40716,2669.19
40717,2686.75
40718,2652.89
40721,2688.28
40722,2729.31
40723,2740.49
40724,2773.52
40725,2816.03
40729,2825.77
40730,2834.02
40731,2872.66
40732,2859.81
40735,2802.62
40736,2781.91
40737,2796.92
40738,2762.67
40739,2789.8
40742,2765.11
40743,2826.52
40744,2814.23
40745,2834.43
40746,2858.83
40749,2842.8
40750,2839.96
40751,2764.79
40752,2766.25
40753,2756.38
40756,2744.61
40757,2669.24
40758,2693.07
40759,2556.39
40760,2532.41
40763,2357.69
40764,2482.52
40765,2381.05
40766,2492.68
40767,2507.98
40770,2555.2
40771,2523.45
40772,2511.48
40773,2380.43
40774,2341.84
40777,2345.38
40778,2446.06
40779,2467.69
40780,2419.63
40781,2479.85
40784,2562.11
40785,2576.11
40786,2579.46
40787,2546.04
40788,2480.33
40792,2473.83
40793,2548.94
40794,2529.14
40795,2467.99
40798,2495.09
40799,2532.15
40800,2572.55
40801,2607.07
40802,2622.31
40805,2612.83
40806,2590.24
40807,2538.19
40808,2455.67
40809,2483.23
40812,2516.69
40813,2546.83
40814,2491.58
40815,2480.76
40816,2415.4
40819,2335.83
40820,2404.82
40821,2460.51
40822,2506.82
40823,2479.35
40826,2566.05
40827,2583.03
40828,2604.73
40829,2620.24
40830,2667.85
40833,2614.92
40834,2657.43
40835,2604.04
40836,2598.62
40837,2637.46
40840,2699.44
40841,2638.42
40842,2650.67
40843,2738.63
40844,2737.15
40847,2684.41
40848,2606.96
40849,2639.98
40850,2697.97
40851,2686.15
40854,2695.25
40855,2727.49
40856,2621.65
40857,2625.15
40858,2678.75
40861,2657.22
40862,2686.2
40863,2639.61
40864,2587.99
40865,2572.5
40868,2523.14
40869,2521.28
40870,2460.08
40872,2441.51
40875,2527.34
40876,2515.51
40877,2620.34
40878,2626.2
40879,2626.93
40882,2655.76
40883,2649.56
40884,2649.21
