交易日期,变量1,变量2,变量3,变量4,变量5
2010/1/4,3243.76,3282.18,3254.22,3192.78,3196
2010/1/5,3282.18,3254.22,3192.78,3196,3212.75
2010/1/6,3254.22,3192.78,3196,3212.75,3273.97
2010/1/7,3192.78,3196,3212.75,3273.97,3172.66
2010/1/8,3196,3212.75,3273.97,3172.66,3215.55
2010/1/11,3212.75,3273.97,3172.66,3215.55,3224.15
2010/1/12,3273.97,3172.66,3215.55,3224.15,3237.1
2010/1/13,3172.66,3215.55,3224.15,3237.1,3246.87
2010/1/14,3215.55,3224.15,3237.1,3246.87,3151.85
2010/1/15,3224.15,3237.1,3246.87,3151.85,3158.86
2010/1/18,3237.1,3246.87,3151.85,3158.86,3128.59
2010/1/19,3246.87,3151.85,3158.86,3128.59,3094.41
2010/1/20,3151.85,3158.86,3128.59,3094.41,3019.39
2010/1/21,3158.86,3128.59,3094.41,3019.39,2986.61
2010/1/22,3128.59,3094.41,3019.39,2986.61,2994.14
2010/1/25,3094.41,3019.39,2986.61,2994.14,2989.29
2010/1/26,3019.39,2986.61,2994.14,2989.29,2941.36
2010/1/27,2986.61,2994.14,2989.29,2941.36,2934.71
2010/1/28,2994.14,2989.29,2941.36,2934.71,3003.84
2010/1/29,2989.29,2941.36,2934.71,3003.84,2995.31
2010/2/1,2941.36,2934.71,3003.84,2995.31,2939.4
2010/2/2,2934.71,3003.84,2995.31,2939.4,2935.17
2010/2/3,3003.84,2995.31,2939.4,2935.17,2948.84
2010/2/4,2995.31,2939.4,2935.17,2948.84,2982.5
2010/2/5,2939.4,2935.17,2948.84,2982.5,2985.5
2010/2/8,2935.17,2948.84,2982.5,2985.5,3018.13
2010/2/9,2948.84,2982.5,2985.5,3018.13,3003.4
2010/2/10,2982.5,2985.5,3018.13,3003.4,2982.58
2010/2/11,2985.5,3018.13,3003.4,2982.58,3022.18
2010/2/12,3018.13,3003.4,2982.58,3022.18,3060.62
2010/2/22,3003.4,2982.58,3022.18,3060.62,3051.94
2010/2/23,2982.58,3022.18,3060.62,3051.94,3087.84
2010/2/24,3022.18,3060.62,3051.94,3087.84,3073.11
2010/2/25,3060.62,3051.94,3087.84,3073.11,3097.01
2010/2/26,3051.94,3087.84,3073.11,3097.01,3023.37
2010/3/1,3087.84,3073.11,3097.01,3023.37,3031.07
2010/3/2,3073.11,3097.01,3023.37,3031.07,3053.23
2010/3/3,3097.01,3023.37,3031.07,3053.23,3069.14
2010/3/4,3023.37,3031.07,3053.23,3069.14,3048.93
2010/3/5,3031.07,3053.23,3069.14,3048.93,3051.28
2010/3/8,3053.23,3069.14,3048.93,3051.28,3013.41
2010/3/9,3069.14,3048.93,3051.28,3013.41,2976.94
2010/3/10,3048.93,3051.28,3013.41,2976.94,2992.84
2010/3/11,3051.28,3013.41,2976.94,2992.84,3050.48
2010/3/12,3013.41,2976.94,2992.84,3050.48,3046.09
2010/3/15,2976.94,2992.84,3050.48,3046.09,3067.75
2010/3/16,2992.84,3050.48,3046.09,3067.75,3074.58
2010/3/17,3050.48,3046.09,3067.75,3074.58,3053.13
2010/3/18,3046.09,3067.75,3074.58,3053.13,3056.81
2010/3/19,3067.75,3074.58,3053.13,3056.81,3019.18
2010/3/22,3074.58,3053.13,3056.81,3019.18,3059.72
2010/3/23,3053.13,3056.81,3019.18,3059.72,3123.8
2010/3/24,3056.81,3019.18,3059.72,3123.8,3128.47
2010/3/25,3019.18,3059.72,3123.8,3128.47,3109.11
2010/3/26,3059.72,3123.8,3128.47,3109.11,3147.42
2010/3/29,3123.8,3128.47,3109.11,3147.42,3157.96
2010/3/30,3128.47,3109.11,3147.42,3157.96,3158.68
2010/3/31,3109.11,3147.42,3157.96,3158.68,3148.22
2010/4/1,3147.42,3157.96,3158.68,3148.22,3118.71
2010/4/2,3157.96,3158.68,3148.22,3118.71,3145.35
2010/4/6,3158.68,3148.22,3118.71,3145.35,3129.26
2010/4/7,3148.22,3118.71,3145.35,3129.26,3161.25
2010/4/8,3118.71,3145.35,3129.26,3161.25,3166.18
2010/4/9,3145.35,3129.26,3161.25,3166.18,3164.97
2010/4/12,3129.26,3161.25,3166.18,3164.97,3130.3
2010/4/13,3161.25,3166.18,3164.97,3130.3,2980.3
2010/4/14,3166.18,3164.97,3130.3,2980.3,2979.53
2010/4/15,3164.97,3130.3,2980.3,2979.53,3033.28
2010/4/16,3130.3,2980.3,2979.53,3033.28,2999.48
2010/4/19,2980.3,2979.53,3033.28,2999.48,2983.54
2010/4/20,2979.53,3033.28,2999.48,2983.54,2969.5
2010/4/21,3033.28,2999.48,2983.54,2969.5,2907.93
2010/4/22,2999.48,2983.54,2969.5,2907.93,2900.33
2010/4/23,2983.54,2969.5,2907.93,2900.33,2868.43
2010/4/26,2969.5,2907.93,2900.33,2868.43,2870.61
2010/4/27,2907.93,2900.33,2868.43,2870.61,2835.28
2010/4/28,2900.33,2868.43,2870.61,2835.28,2857.15
2010/4/29,2868.43,2870.61,2835.28,2857.15,2739.7
2010/4/30,2870.61,2835.28,2857.15,2739.7,2688.38
2010/5/4,2835.28,2857.15,2739.7,2688.38,2698.76
2010/5/5,2857.15,2739.7,2688.38,2698.76,2647.57
2010/5/6,2739.7,2688.38,2698.76,2647.57,2655.71
2010/5/7,2688.38,2698.76,2647.57,2655.71,2710.51
2010/5/10,2698.76,2647.57,2655.71,2710.51,2696.63
2010/5/11,2647.57,2655.71,2710.51,2696.63,2559.93
2010/5/12,2655.71,2710.51,2696.63,2559.93,2594.78
2010/5/13,2710.51,2696.63,2559.93,2594.78,2587.81
2010/5/14,2696.63,2559.93,2594.78,2587.81,2555.94
2010/5/17,2559.93,2594.78,2587.81,2555.94,2583.52
2010/5/18,2594.78,2587.81,2555.94,2583.52,2673.42
2010/5/19,2587.81,2555.94,2583.52,2673.42,2622.63
2010/5/20,2555.94,2583.52,2673.42,2622.63,2625.79
2010/5/21,2583.52,2673.42,2622.63,2625.79,2655.92
2010/5/24,2673.42,2622.63,2625.79,2655.92,2655.77
2010/5/25,2622.63,2625.79,2655.92,2655.77,2592.15
2010/5/26,2625.79,2655.92,2655.77,2592.15,2568.28
2010/5/27,2655.92,2655.77,2592.15,2568.28,2571.42
2010/5/28,2655.77,2592.15,2568.28,2571.42,2552.66
2010/5/31,2592.15,2568.28,2571.42,2552.66,2553.59
2010/6/1,2568.28,2571.42,2552.66,2553.59,2511.73
2010/6/2,2571.42,2552.66,2553.59,2511.73,2513.95
2010/6/3,2552.66,2553.59,2511.73,2513.95,2583.87
2010/6/4,2553.59,2511.73,2513.95,2583.87,2562.58
2010/6/7,2511.73,2513.95,2583.87,2562.58,2569.94
2010/6/8,2513.95,2583.87,2562.58,2569.94,2560.25
2010/6/9,2583.87,2562.58,2569.94,2560.25,2513.22
2010/6/10,2562.58,2569.94,2560.25,2513.22,2586.21
2010/6/11,2569.94,2560.25,2513.22,2586.21,2588.7
2010/6/17,2560.25,2513.22,2586.21,2588.7,2569.87
2010/6/18,2513.22,2586.21,2588.7,2569.87,2566.75
2010/6/21,2586.21,2588.7,2569.87,2566.75,2552.82
2010/6/22,2588.7,2569.87,2566.75,2552.82,2535.28
2010/6/23,2569.87,2566.75,2552.82,2535.28,2427.05
2010/6/24,2566.75,2552.82,2535.28,2427.05,2398.37
2010/6/25,2552.82,2535.28,2427.05,2398.37,2373.79
2010/6/28,2535.28,2427.05,2398.37,2373.79,2382.9
2010/6/29,2427.05,2398.37,2373.79,2382.9,2363.95
2010/6/30,2398.37,2373.79,2382.9,2363.95,2409.42
2010/7/1,2373.79,2382.9,2363.95,2409.42,2421.12
2010/7/2,2382.9,2363.95,2409.42,2421.12,2415.15
2010/7/5,2363.95,2409.42,2421.12,2415.15,2470.92
2010/7/6,2409.42,2421.12,2415.15,2470.92,2490.72
2010/7/7,2421.12,2415.15,2470.92,2490.72,2450.29
2010/7/8,2415.15,2470.92,2490.72,2450.29,2470.44
2010/7/9,2470.92,2490.72,2450.29,2470.44,2424.3
2010/7/12,2490.72,2450.29,2470.44,2424.3,2424.27
2010/7/13,2450.29,2470.44,2424.3,2424.27,2475.42
2010/7/14,2470.44,2424.3,2424.27,2475.42,2528.73
2010/7/15,2424.3,2424.27,2475.42,2528.73,2535.39
2010/7/16,2424.27,2475.42,2528.73,2535.39,2562.41
2010/7/19,2475.42,2528.73,2535.39,2562.41,2572.03
2010/7/20,2528.73,2535.39,2562.41,2572.03,2588.68
2010/7/21,2535.39,2562.41,2572.03,2588.68,2575.37
2010/7/22,2562.41,2572.03,2588.68,2575.37,2633.66
2010/7/23,2572.03,2588.68,2575.37,2633.66,2648.12
2010/7/26,2588.68,2575.37,2633.66,2648.12,2637.5
2010/7/27,2575.37,2633.66,2648.12,2637.5,2672.52
2010/7/28,2633.66,2648.12,2637.5,2672.52,2627
2010/7/29,2648.12,2637.5,2672.52,2627,2638.52
2010/7/30,2637.5,2672.52,2627,2638.52,2620.76
2010/8/2,2672.52,2627,2638.52,2620.76,2658.39
2010/8/3,2627,2638.52,2620.76,2658.39,2672.53
2010/8/4,2638.52,2620.76,2658.39,2672.53,2595.27
2010/8/5,2620.76,2658.39,2672.53,2595.27,2607.5
2010/8/6,2658.39,2672.53,2595.27,2607.5,2575.48
2010/8/9,2672.53,2595.27,2607.5,2575.48,2606.7
2010/8/10,2595.27,2607.5,2575.48,2606.7,2661.71
2010/8/11,2607.5,2575.48,2606.7,2661.71,2671.89
2010/8/12,2575.48,2606.7,2661.71,2671.89,2666.3
2010/8/13,2606.7,2661.71,2671.89,2666.3,2687.98
2010/8/16,2661.71,2671.89,2666.3,2687.98,2642.31
2010/8/17,2671.89,2666.3,2687.98,2642.31,2639.37
2010/8/18,2666.3,2687.98,2642.31,2639.37,2650.31
2010/8/19,2687.98,2642.31,2639.37,2650.31,2596.58
2010/8/20,2642.31,2639.37,2650.31,2596.58,2603.48
2010/8/23,2639.37,2650.31,2596.58,2603.48,2610.74
2010/8/24,2650.31,2596.58,2603.48,2610.74,2652.66
2010/8/25,2596.58,2603.48,2610.74,2652.66,2638.8
2010/8/26,2603.48,2610.74,2652.66,2638.8,2622.88
2010/8/27,2610.74,2652.66,2638.8,2622.88,2655.78
2010/8/30,2652.66,2638.8,2622.88,2655.78,2655.39
2010/8/31,2638.8,2622.88,2655.78,2655.39,2696.25
2010/9/1,2622.88,2655.78,2655.39,2696.25,2698.36
2010/9/2,2655.78,2655.39,2696.25,2698.36,2695.29
2010/9/3,2655.39,2696.25,2698.36,2695.29,2656.35
2010/9/6,2696.25,2698.36,2695.29,2656.35,2663.21
2010/9/7,2698.36,2695.29,2656.35,2663.21,2688.32
2010/9/8,2695.29,2656.35,2663.21,2688.32,2688.52
2010/9/9,2656.35,2663.21,2688.32,2688.52,2652.5
2010/9/10,2663.21,2688.32,2688.52,2652.5,2602.47
2010/9/13,2688.32,2688.52,2652.5,2602.47,2598.69
