date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,value
0,0.058010342,0.104611779,0.147224798,0.178263333,0.191614836,0.184056944,0.156217546,0.112845046,0.06227619,0.015138956,0,0,0,0.044661075,0.119559701,0.208108228,0.295564414,0.36561068,0.403252889,0.3977913,0.345350188,0.250492636,0.126570506,0,0,0,0,0,0.114242783,0.411347238,0.792184772,1.22997362,1.68904267,2.12887318,2.50890112,2.79341831,2.95589237,2.98211006,2.87172201,2.63800174,2.30589086,1.90864531,1.48358727,1.06757576,0.692822474,0.383598626,0.154219748,0.008487441,0,0,0,0.047289767,0.122231405,0.188459936,0.235350665,0.257720502,0.255459563,0.232467648,0.195179171,0.150989198,0.106863644,0.068339459,0.039014766,0.020517326,0.012844868,0.014910276,0.025107849,0.041743962,0.063237285,0.088074188,0.114584672,0.140664055,0.163591696,0.180083303,0.186660237,0.180338503,0.159549064,0.125120079,0.081099791,0.035190174,0,0,0.010143503,0.087595235,0.228708198,0.439284514,0.718043981,1.05564754,1.43474121,1.83111544,2.21590508,2.55858781,2.83040132,3.00771699,3.07489514,3.02620917,2.86655402,2.61082926,2.28208122,1.90867023,1.52086948,1.14737869,0.812236012,0.532537859,0.317239477,0.167135031,0.07593192,0.032171814,0.021635771,0.029820552,0.044093543,0.055218212,0.058073377,0.051542841,0.037699206,0.020521032,0.00444678,0,0,0,0,0.001853144,0.005730434,0.004367816,0,0,0,0,0,0,0,0.014910276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.426
1,0.320714791,0,0.701836816,1.42010749,0,0.284881791,0,0,0.498467655,0,0.32062894,0.395248224,0.764636015,0.334258359,0,0.496573533,0,0,0.484811747,0.353939515,0,0.0199486,0,0,0,0.283293837,0.515084531,0.917670554,0,0,0,0,0.205742578,0,0,0.695692161,1.85192315,0.481881006,0,0.408665787,0.596650504,0,0,0.676175613,0.09249318,0,0,0,0,0.524485865,0,0.397963397,0.317008914,0.5829234,0.295232713,0.500730526,0.1351309,0,0,0.914220751,0,0.380910763,0.584805757,1.19850246,0,0,0,0.376178974,0.111707141,0,0.657563817,0.175733419,0.058332458,0,0.028049145,0.192580378,0.189711196,0,0,0.648807157,0,0,0.049540221,0,0.238167502,0,0,0,0.377277016,0,0.174617867,0.157064453,0,0.190794215,0,0.446179448,0,0.787352638,0,1.16713333,0.836208629,0.380015392,0.887199624,0.225922621,1.02971871,0,0.274550157,0,0,0.334327461,0,0.539965085,0.398432695,1.29364441,0.067749067,1.21714503,0,0.537148395,0.53417498,0.262386482,0,0.296190426,0.453120441,0,0,0,0.449347647,0,0,0,0,0.21526581,0.447753735,0.113668842,0.6517027,0,0,0.0514749,0,0.366002166,0.387625427,0,0.169281691,0.485816462,0.270517993,0.877641417,0,1.17006567,0.278584915,0,0,0.636522493,0,0,0,0.007899318,0.056957785,0.696501835,0,0,0,0,0,0,0,0,0,0,0,0,0.24274965,0.540682108,0,0.095096324,0.640524849,1.12774086,0.872811004,1.72834174,1.26811938,1.48841416,1.67509721,2.52307307,1.9958975,2.43240516,3.26515786,2.47616855,3.04940227,1.8994009,1.9673378,2.7331001,2.94168013,1.92549533,1.75109178,1.97936885,0.360055215,2.17480002,2.4767931,2.13257379,1.43425496,1.25416683,0.73103012,1.89336118,0.339283785,1.15606157,0.143383544,0,0.474852842,0.299063129,0.19971432,0,0,0,0.403685178,0,0,0,0,0.831556677,0,0,0.050109712,0.014208466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424
2,0.171158402,0.075271674,0,0.08250461,0,0.092449368,0,0.210318584,2.36025229,3.89081565,1.10606571,0.296734889,0,0.188088866,0,0.226083904,0,0.488499236,0.379316675,0,0.452616125,2.13956936,0.839672497,0.506397489,0,0.509891432,0,4.52422583,4.06184694,0,1.08918442,0.78734563,0.5931253,0,0.106542007,0,0.065658762,0,0.033313098,0,0,0.029359213,0,3.10456772,0.162930009,0.109407136,2.22220265,0.348907406,1.98424329,3.38008345,1.07854217,1.7389103,0,0.093398791,0.22430096,2.33309143,0.780776655,0.457411413,0.227645248,0.515277743,1.23693734,0,0.201290868,0,0.624031365,1.49759189,0.455386524,0,0.076792935,0.070205559,0,0.039195752,0,0.043814027,0,0.049612135,0,0.055849992,0,0.064040241,0,0.137863772,0,0.059188352,0,0.065299083,0.147856362,0.882775922,0.289645134,0.191629652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.422
3,2.59872688,2.70701364,2.5186939,1.79050121,1.00944392,0.531998176,0.854130458,0.602971913,0.248268343,0,0,0,0,0.356566097,0,0,0,0.276005818,0.478336956,0.370791123,0,0,0.124840786,0,0,0.394238588,0.844489547,1.05257777,1.40345205,2.10749608,3.4353734,4.2385579,4.42615233,4.90293646,5.36753195,5.74187474,4.81502262,4.75320659,4.80024443,4.2193013,3.99724629,2.67215183,1.95051337,1.12977438,0.82939719,0.188983907,0,0,0,0,0.143934873,0.242265829,0.572035587,0,0,0.801611207,0.125464725,0.562900846,0.069766651,0.329360915,0,0,0,0,0,0,0,0.24712545,0.24490155,0.41434688,0,0.381859274,0.076151463,0.361948739,0.220549288,0.282013769,0,0.281261141,0,0,0,0.004138334,0,0.175852141,0.22089859,0,0,0.383243189,0.186635845,0,0.540728894,0.184548984,0.083220704,0,0,0.142505703,0,0.117290533,0,0,0,0,0.322011942,0.324560282,0,0.114151939,0.132986884,0.024810458,0.546035534,0.424534857,0.033414076,0,0.276747783,0,0,0,0,0,0.292239293,0.34321241,0,0.572204943,0,0.120044162,0.042816704,0,0,0,0,0.015106591,0,0,0.167150328,0.099352727,0,0.27774592,0.534844099,0.109560368,0,0.650498403,0.036464437,0.416125263,0,0.152857977,0,0,0,0,0,0,0,0,0.203035227,0.40361755,0.050845661,0.731734648,0.341017818,1.28720123,0.274694439,0.141472162,0.274322468,0,0,0.348069145,0,0,0,0,0.026207169,0.213033461,0.93629595,0.803547608,1.24021221,2.07381737,2.66847825,2.06916626,2.38475393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451
4,0.159999827,0,0.152614596,0.967409624,2.18478401,3.38682045,4.11687727,4.105567,3.40190685,2.33904314,1.35713484,0.784315641,0.694978578,0.914504754,1.15324563,1.18217528,0.948020515,0.571208791,0.243963139,0.102037729,0.15009917,0.278537045,0.349065556,0.286770628,0.11972114,0,0,0,0.01615849,0.109334314,0.120234451,0.047887411,0,0,0,0,0.072141693,0.101938932,0.073011035,0.019692452,0,0.022775697,0.099756044,0.181753095,0.223956448,0.206953023,0.14544227,0.074087714,0.023188752,0.00215222,0.000613825,0.002777925,0.001346044,0,0.003676369,0.009990832,0.008735858,0,0,0.023324305,0.143807116,0.361504056,0.637894258,0.889862535,1.026349,0.99648392,0.819970804,0.579264091,0.376568474,0.281700887,0.303515225,0.402416127,0.533848694,0.691027112,0.914780507,1.26052333,1.74280616,2.29607956,2.78303642,3.05269577,3.01768823,2.70546889,2.25168487,1.83768948,1.60700408,1.60674219,1.78304131,2.02600998,2.2314854,2.34157541,2.34531323,2.25013998,2.0537049,1.74125404,1.31084506,0.804247025,0.31392018,0,0,0,0,0.141224152,0.177201759,0.089853045,0,0,0,0,0.097889574,0.15780166,0.105602837,0,0,0,0.005304986,0.222292402,0.418359946,0.502544637,0.446594815,0.295123817,0.131784535,0.026376215,0,0.014865576,0.028239537,0.009990927,0,0,0,0.006538037,0.05503648,0.065840415,0.028642052,0,0,0,0.028311585,0.096161019,0.113487173,0.062475348,0,0,0,0,0.06128973,0.109787378,0.080522493,0,0,0,0,0.04871739,0.119565521,0.106572062,0.015534878,0,0,0,0.031633054,0.131100326,0.140346561,0.04734115,0,0,0,0.006109069,0.146153994,0.189412176,0.095906335,0,0,0,0,0.171799711,0.27880608,0.188891404,0,0,0,0,0.261632587,0.639562426,0.759207895,0.547253258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428
5,2.10419237,0,3.03493662,0.75511236,0,0.44951671,0.85456551,0.73953052,0,1.23307785,0.89451398,8.63546251,5.28210681,0,0.32169858,0,1.26443033,0,0.95795734,0,3.82670075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.442
6,0.17080789,0.353345765,0.427603636,0.343360883,0.171957946,0.030321888,0,0,0.012234951,0,0,0,0.017527601,0.087092746,0.08575394,0,0,0,0,0.118890155,0.172288334,0.067412227,0,0,0,0.111839324,0.289275551,0.218166654,0,0,0,0.024430618,0.503925668,0.621935352,0.118303494,0,0,0,1.6137509,4.85062302,7.97049546,9.73561404,9.48608161,7.46903192,4.64314084,2.10978759,0.547372176,0,0,0.077571468,0.016482916,0,0,0,0.117887633,0.189120692,0.09099833,0,0,0,0.050520564,0.167300818,0.133638007,0,0,0,0,0.126084446,0.154748486,0.046003793,0,0,0,0.088630766,0.211198504,0.204554469,0.092825773,0,0,0.009784907,0.080325436,0.082362012,0.007011613,0,0,0,0.06704927,0.101100824,0.044912209,0,0,0,0.0333368,0.097506098,0.074450675,0,0,0,0,0.074861848,0.084783279,0.020529974,0,0,0,0.029160153,0.049823641,0.075585579,0.242100821,0.684821509,1.40621651,2.21437254,2.79955611,2.9107313,2.51066643,1.79642214,1.06963106,0.552542948,0.28275006,0.152828134,0.045669583,0,0,0.096307757,0.391569922,0.669048704,0.758405766,0.603288193,0.310421882,0.073449941,0.030939874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483
7,0.36528173,0.62682091,0.17050409,0.60474426,0,0,1.65411672,2.3793254,2.9953456,3.47664804,3.71912027,4.33742005,3.24164893,1.11022121,0.1483879,0.09228454,0.37380143,0.17852089,1.74875099,4.52822604,4.10983936,1.47070104,0,0,1.53516757,4.28475192,5.21681214,3.88761985,1.97982471,1.10201839,0,0.57884204,0.77941889,0.42295021,0,0,0.8857828,1.06277419,0.03905164,0.29584498,0.12962805,0.48587119,0.52399939,0.37172166,0.30091362,0.23732866,0,0.39373327,0,0.34328841,0.16851495,0,0,0.55952107,0.14774924,0.25606386,0.15315607,0,0,0,0.48393317,0,0,0.54242717,1.55962668,1.62802339,1.19582207,0.48987226,0.08333057,0,0,0.4699817,0.17708149,1.68426156,1.43337944,1.59562543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435
8,0.536638987,2.22731331,1.41900577,0,0.171876632,0,0,0.144122165,0.328513247,0,0,0.327131684,0.057908063,0.073320631,0.52469615,0.399888224,0,0.388963479,0.195528258,0.021376889,0.287924409,0,0.521650554,0.544299679,1.366571,1.47425399,0.091447569,0,0,0,0.296364755,0.461308775,0,0.096844797,0,0.016282936,0,0.326152666,0.10040929,0,0,0,0.232970576,0.034107501,0,0.297704274,0.214442098,0.083143918,0.171935013,0.289808877,1.63458456,1.59731941,0.901663516,1.03101616,1.29437909,0,0.204162105,0.972452656,0.240017448,0.042632711,0.098930684,0.450506334,0,0,0,0,0.042494178,0.044169033,0.278148247,0.278689333,0.939500804,0.882236081,0.023961122,0,0.246516685,0,0.439108737,0,0,0.155088409,0,0.46478586,0,0,0.267111861,0,0,0.059938895,0,0.26181444,0.249811794,0.031884146,0,1.36916696,2.23996854,0.377401863,0.148678759,0.270405569,0.318889456,0,0.044457683,0.6355071,0.273596056,0.288113708,0.028242034,0,0,0.334049333,0.45480866,0,0.081759093,0,0,0.421845233,0,0.356411992,0.866336565,1.20046091,1.39279016,1.81087003,2.60882346,1.47896252,0.600010397,0.740365846,0.073403551,0.095150196,0,0,0,0,0.474840084,0,0,0,0.324405502,0.310458695,0,0.34907135,0.621826396,1.25621838,0.506153991,0,2.22242965,5.2667021,4.77958306,3.24044233,1.51521821,0.366952924,0.127801391,0.36638414,0.900566847,0.642597776,0,0,0,0,0.269996406,0.30136796,0.715809823,1.0666634,1.86239422,0.309898265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435
9,0.419301926,0.366362843,0.235631769,0.067267465,0,0,0,0.013329238,0.127984833,0.194491201,0.186265071,0.118030282,0.035665635,0,0.013844929,0.098600826,0.206365744,0.28584619,0.298712243,0.237735582,0.128986877,0.017871502,0,0,0,0.032399036,0.072907516,0.073960111,0.036703294,0,0,0,0,0.003779886,0.043952323,0.058651043,0.042447578,0.006300673,0,0,0,0,0.027575638,0.046307742,0.0422665,0.019076057,0,0,0,0,0.002829279,0.024031806,0.038021714,0.046769466,0.057920835,0.079066606,0.111671722,0.148318767,0.175093315,0.178088108,0.150692511,0.097808841,0.034666198,0,0,0,0,0.004793944,0.028110867,0.034219471,0.022808571,0.001759288,0,0,0,0,0.011423312,0.0221458,0.021458573,0.009611601,0,0,0,0.015760749,0.08963822,0.210041681,0.373841203,0.566352604,0.761755629,0.927919419,1.03530166,1.06740725,1.02876788,0.946529446,0.863787205,0.826092665,0.865653046,0.989170013,1.17421922,1.3758796,1.5413226,1.62700583,1.61229096,1.50498486,1.33761176,1.15662266,1.00880974,0.929281068,0.933836942,1.01653723,1.15175206,1.29955219,1.41362675,1.45121254,1.38408612,1.20847306,0.950520897,0.663897496,0.417887268,0.277838239,0.283614409,0.433903003,0.683296276,0.954824907,1.16453757,1.2494095,1.18788183,1.00489819,0.759558903,0.520785765,0.341390666,0.241325556,0.206441972,0.201881818,0.192665025,0.161224633,0.113819586,0.073725983,0.06581265,0.101182329,0.170034434,0.246192545,0.300401872,0.314902721,0.29132675,0.247821339,0.207347476,0.184007717,0.175334507,0.165074959,0.134969385,0.07866836,0.009314637,0,0,0,0.089274956,0.18749606,0.24496201,0.231449216,0.149660733,0.036958037,0,0,0.003731344,0.130573661,0.254065799,0.312231662,0.273117511,0.153766784,0.015692062,0,0,0.148431162,0.400797615,0.65515016,0.833985819,0.89967387,0.870971822,0.810416408,0.788442565,0.842637769,0.954172588,1.05574823,1.06962813,0.95805725,0.759928491,0.591816319,0.607286573,0.928714345,1.58102281,2.45903628,3.3475439,3.99072275,4.18519795,3.85903565,3.10324106,2.14144089,1.24915913,0.655134582,0.46421801,0.63152839,0.995329455,1.35150618,1.53635923,1.48337709,1.2333858,0.899124637,0.604782101,0.429833218,0.381486911,0.40453305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.435
