date,value1
40330,973.23
40331,997.12
40332,998.39
40333,1027.68
40336,1069.47
40337,1067.15
40338,1077.82
40339,1117.48
40340,1122.2
40346,1064.84
40347,1000.28
40350,1040.8
40351,1034.99
40352,1047.34
40353,1050.6
40354,1016.28
40357,987.83
40358,913.31
40359,919.31
40360,882.19
40361,873.12
40364,862.27
40365,893.72
40366,908.55
40367,905.51
40368,932.15
40371,930.17
40372,931.08
40373,922.36
40374,892.56
40375,892.3
40378,908.05
40379,937.02
40380,941.25
40381,950.21
40382,960.59
40385,966.15
40386,957.97
40387,972.53
40388,975.36
40389,968.43
40392,994.23
40393,975.65
40394,978.01
40395,987.35
40396,1011.39
40399,1032.34
40400,993.99
40401,1004.64
40402,991.78
40403,1007.21
40406,1030.22
40407,1033.58
40408,1026.72
40409,1025.53
40410,995.94
40413,995.61
40414,1004.98
40415,976.88
40416,980.63
40417,999.46
40420,1024.93
40421,1025.57
40422,995.59
40423,1014.92
40424,1036.7
40427,1010.76
40428,1022.62
40429,1026.33
40430,1021.83
40431,1034.94
40434,1042.48
40435,1031.22
40436,990.1
40437,972.6
40438,972.23
40441,949.2
40442,934.46
40448,950.67
40449,942.05
40450,926.76
40451,942.54
40459,959.86
40462,947.11
40463,951.79
40464,962.74
40465,958.49
40466,944.25
40469,932.36
40470,995.92
40471,1004.54
40472,991.84
40473,1013.45
40476,1039.05
40477,1036.01
40478,1030.59
40479,1038.62
40480,1064.52
40483,1107.52
40484,1075.15
40485,1040.62
40486,1057.71
40487,1072.22
40490,1107.06
40491,1115.65
40492,1141.58
40493,1132.72
40494,1082.24
40497,1148.54
40498,1126.18
40499,1085.35
40500,1102.84
40501,1153.17
40504,1174.94
40505,1183.5
40506,1208.45
40507,1186.36
40508,1196.02
40511,1220.11
40512,1181.5
40513,1177.18
40514,1177.84
40515,1157.94
40518,1134.38
40519,1161.69
40520,1160.24
40521,1144.53
40522,1166.8
40525,1209.27
40526,1218.52
40527,1211.8
40528,1225.03
40529,1232.98
40532,1212.34
40533,1215.02
40534,1201.65
40535,1176.36
40536,1144.5
40539,1105.3
40540,1091.48
40541,1113.31
40542,1117.21
40543,1137.66
40547,1155.11
40548,1155.35
40549,1134.79
40550,1126.52
40553,1093.77
40554,1078.36
40555,1089.67
40556,1093.86
40557,1067.42
40560,1028.16
40561,1025.72
40562,1048.54
40563,1020.39
40564,1024.51
40567,994.97
40568,979
40569,995.74
40570,1013.02
40571,1020.94
40574,1029.12
40575,1032.6
40583,1025.15
40584,1063.95
40585,1071.58
