date,value1
40182,21823.28
40183,22279.58
40184,22416.67
40185,22269.45
40186,22296.75
40189,22411.52
40190,22326.64
40191,21748.6
40192,21716.95
40193,21654.16
40196,21460.01
40197,21677.98
40198,21286.17
40199,20862.67
40200,20726.18
40203,20598.55
40204,20109.33
40205,20033.07
40206,20356.37
40207,20121.99
40210,20243.75
40211,20272.18
40212,20722.08
40213,20341.64
40214,19665.08
40217,19550.89
40218,19790.28
40219,19922.22
40220,20290.69
40221,20268.69
40226,20534.01
40227,20422.15
40228,19894.02
40231,20377.27
40232,20623
40233,20467.74
40234,20399.57
40235,20608.7
40238,21056.93
40239,20906.11
40240,20876.79
40241,20575.78
40242,20787.97
40245,21196.87
40246,21207.55
40247,21208.29
40248,21228.2
40249,21209.74
40252,21079.1
40253,21022.93
40254,21384.49
40255,21330.67
40256,21370.82
40259,20933.25
40260,20987.78
40261,21008.62
40262,20778.55
40263,21053.11
40266,21237.43
40267,21374.79
40268,21239.35
40269,21537
40275,21928.77
40276,21867.04
40277,22208.5
40280,22138.17
40281,22103.53
40282,22121.43
40283,22157.82
40284,21865.26
40287,21405.17
40288,21623.38
40289,21510.93
40290,21454.94
40291,21244.49
40294,21587.06
40295,21261.79
40296,20949.4
40297,20778.92
40298,21108.59
40301,20811.36
40302,20763.05
40303,20327.54
40304,20133.41
40305,19920.29
40308,20426.64
40309,20146.51
40310,20212.49
40311,20422.46
40312,20145.43
40315,19715.2
40316,19944.94
40317,19578.98
40318,19545.83
40322,19667.76
40323,18985.5
40324,19196.45
40325,19431.37
40326,19766.71
40329,19765.19
40330,19496.95
40331,19471.8
40332,19786.71
40333,19780.07
40336,19378.15
40337,19487.48
40338,19621.24
40339,19632.7
40340,19872.38
40343,20051.91
40344,20062.15
40346,20138.4
40347,20286.71
40350,20912.18
40351,20819.08
40352,20856.61
40353,20733.49
40354,20690.79
40357,20726.68
40358,20248.9
40359,20128.99
40361,19905.32
40364,19842.2
40365,20084.12
40366,19857.07
40367,20050.56
40368,20378.66
40371,20467.43
40372,20431.06
40373,20560.81
40374,20255.62
40375,20250.16
40378,20090.95
40379,20264.59
40380,20487.23
40381,20589.7
40382,20815.33
40385,20839.91
40386,20973.39
40387,21091.18
40388,21093.82
40389,21029.81
40392,21412.79
40393,21457.66
40394,21549.88
40395,21551.72
40396,21678.8
40399,21801.59
40400,21473.6
40401,21294.54
40402,21105.71
40403,21071.57
40406,21112.12
40407,21137.43
40408,21022.73
40409,21072.46
40410,20981.82
40413,20889.01
40414,20658.71
40415,20634.98
40416,20612.06
40417,20597.35
40420,20737.22
40421,20536.49
40422,20623.83
40423,20868.92
40424,20971.5
40427,21355.77
40428,21401.79
40429,21088.86
40430,21167.27
40431,21257.39
40434,21658.35
40435,21696.04
40436,21725.64
40437,21691.45
40438,21970.86
40441,21977.34
40442,22002.59
40443,22047.71
40445,22119.43
40448,22340.84
40449,22109.95
40450,22378.67
40451,22358.17
40455,22618.66
40456,22639.14
40457,22880.41
40458,22884.32
40459,22944.18
40462,23207.31
40463,23121.7
40464,23457.69
40465,23852.17
40466,23757.63
40469,23469.38
40470,23763.73
40471,23556.5
40472,23649.48
40473,23517.54
40476,23627.91
40477,23601.24
40478,23164.58
40479,23210.86
40480,23096.32
40483,23652.94
40484,23671.42
40485,24144.67
40486,24535.63
40487,24876.82
40490,24964.37
40491,24710.6
40492,24500.61
40493,24700.3
40494,24222.58
40497,24027.18
40498,23693.02
40499,23214.46
40500,23637.39
40501,23605.71
40504,23524.02
40505,22896.14
40506,23023.86
40507,23054.68
40508,22877.25
40511,23166.22
40512,23007.99
40513,23249.8
40514,23448.78
40515,23320.52
40518,23237.69
40519,23428.15
40520,23092.52
40521,23171.8
40522,23162.91
40525,23317.61
40526,23431.19
40527,22975.35
40528,22668.78
40529,22714.85
40532,22639.08
40533,22993.86
40534,23045.19
40535,22902.97
40536,22833.8
40540,22621.73
40541,22969.3
40542,22999.34
40543,23035.45
40546,23436.05
40547,23668.48
40548,23757.82
40549,23786.3
40550,23686.63
40553,23527.26
40554,23760.34
40555,24125.61
40556,24238.98
40557,24283.23
40560,24156.97
40561,24153.98
40562,24419.62
40563,24003.7
40564,23876.86
40567,23801.78
40568,23788.83
40569,23843.24
40570,23779.62
40571,23617.02
40574,23447.34
40575,23482.95
40576,23908.96
40581,23553.59
40582,23484.3
40583,23164.03
40584,22708.62
40585,22828.92
40588,23121.06
40589,22899.78
40590,23156.97
40591,23301.84
40592,23595.24
40595,23485.42
40596,22990.81
40597,22906.9
40598,22601.04
40599,23012.37
40602,23338.02
40603,23396.42
40604,23048.66
40605,23122.42
40606,23408.86
40609,23313.19
40610,23711.7
40611,23810.11
40612,23614.89
40613,23249.78
40616,23345.88
40617,22678.25
40618,22700.88
40619,22284.43
40620,22300.23
40623,22685.22
40624,22857.9
40625,22825.4
40626,22915.28
40627,23158.67
40630,23068.19
40631,23060.36
40632,23451.43
40633,23527.52
40634,23801.9
40637,24150.58
40639,24285.05
40640,24281.8
40641,24396.07
40644,24303.07
40645,23976.37
40646,24135.03
40647,24014
40648,24008.07
40651,23830.31
40652,23520.62
40653,23896.1
40654,24138.31
40659,24007.38
40660,23892.84
40661,23805.63
40662,23720.81
40666,23633.25
40667,23315.24
40668,23261.61
40669,23159.14
40672,23336
40674,23291.8
40675,23073.76
40676,23276.27
40679,22960.63
40680,22901.08
40681,23011.14
40682,23163.38
40683,23199.39
40686,22711.02
40687,22730.78
40688,22747.28
40689,22900.79
40690,23118.07
40693,23184.32
40694,23684.13
40695,23626.43
40696,23253.84
40697,22949.56
40701,22868.67
40702,22661.63
40703,22609.83
40704,22420.37
40707,22508.08
40708,22496
40709,22343.77
40710,21953.11
40711,21695.26
40714,21599.51
40715,21850.59
40716,21859.97
40717,21759.14
40718,22171.95
40721,22041.77
40722,22061.78
40723,22061.18
40724,22398.1
40728,22770.47
40729,22747.95
40730,22517.55
40731,22530.18
40732,22726.43
40735,22347.23
40736,21663.16
40737,21926.88
40738,21940.2
40739,21875.38
40742,21804.75
40743,21902.4
40744,22003.69
40745,21987.29
40746,22444.8
40749,22293.29
40750,22572.08
40751,22541.69
40752,22570.74
40753,22440.25
40756,22663.37
40757,22421.46
40758,21992.72
40759,21884.74
40760,20946.14
40763,20490.57
40764,19330.7
40765,19783.67
40766,19595.14
40767,19620.01
40770,20260.1
40771,20212.08
40772,20289.03
40773,20016.27
40774,19399.92
40777,19486.87
40778,19875.53
40779,19466.79
40780,19752.48
40781,19582.88
40784,19865.11
40785,20204.17
40786,20534.85
40787,20585.33
40788,20212.91
40791,19616.4
40792,19710.5
40793,20048
40794,19912.82
40795,19866.63
40798,19030.54
40800,19045.44
40801,19181.5
40802,19455.31
40805,18917.95
40806,19014.8
40807,18824.17
40808,17911.95
40809,17668.83
40812,17407.8
40813,18130.55
40814,18011.06
40816,17592.41
40819,16822.15
40820,16250.27
40822,17172.28
40823,17707.01
40826,17711.06
40827,18141.59
40828,18329.46
40829,18757.81
40830,18501.79
40833,18873.99
40834,18076.46
40835,18309.22
40836,17983.1
40837,18025.72
40840,18771.82
40841,18968.2
40842,19066.54
40843,19688.7
40844,20019.24
40847,19864.87
40848,19369.96
40849,19733.71
40850,19242.5
40851,19842.79
40854,19677.89
40855,19678.47
40856,20014.43
40857,18963.89
40858,19137.17
40861,19508.18
40862,19348.44
40863,18960.9
40864,18817.47
40865,18491.23
40868,18225.85
40869,18251.59
40870,17864.43
40871,17935.1
40872,17689.48
40875,18037.81
40876,18256.2
40877,17989.35
40878,18002.25
40879,19040.39
40882,19179.69
40883,18942.23
40884,19240.58
40885,19107.81
40886,18586.23
40889,18575.66
40890,18447.17
40891,18354.43
40892,18026.84
40893,18285.39
40896,18070.21
40897,18080.2
40898,18416.45
40899,18378.23
40900,18629.17
40905,18518.67
40906,18397.92
40907,18434.39
40911,18877.41
40912,18727.31
40913,18813.41
40914,18593.06
40917,18865.72
40918,19004.28
40919,19151.94
40920,19095.38
40921,19204.42
40924,19012.2
40925,19627.75
40926,19686.92
40927,19942.95
40928,20110.37
40934,20439.14
40935,20501.67
40938,20160.41
